Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Test Automation Foundations,"<p>Automated testing relies on scripting and frameworks like Selenium to prove that products work as expected. Test automation is an enormous time-saver, and it's crucial to continuous integration, continuous delivery, and agile software development. If you're employed in QA, DevOps, or IT, you need to know the basics. This course covers the foundations of test automation, as well as different strategies for implementation. QA engineer Meaghan Lewis explains what kinds of tests to use, how to choose the right test tools, and how to plan and execute test automation projects. She also describes strategies to maintain automation over time: adding new tests, updating old tests, and resolving failures. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/lambdatest-test-automation-professional-certificate"" target=""_blank"">Professional Certificate</a> from LambdaTest.</p>",Course,2019-06-14 12:17 UTC,N/A,false,N/A,
Gestão de Equipes de Projetos,"Nesse curso, o escritor e PMP Bob McGannon ensina como entender os membros da equipe, criar uma equipe forte, estruturar o trabalho e maximizar o sucesso.
Descubra como negociar recursos-chave, apreciar e maximizar estilos de trabalho, adicionar a inteligência emocional ao seu estilo de gestão e resolver conflitos.

</p><p>Este curso faz parte de um <a href=""https://www.linkedin.com/learning/paths/fundamentos-para-gestao-de-projetos-por-microsoft-e-linkedin"" target=""_blank"">certificado profissional de Microsoft.</a></p>",Course,2020-04-01 12:49 UTC,N/A,false,N/A,
Project Management with Microsoft Copilot,"Unlock the potential of Microsoft Copilot to streamline your project management tasks and boost efficiency. Taught by certified Project Management Professional and Microsoft MVP Cindy M. Lewis, this course is designed to equip project managers with skills to leverage Copilot seamlessly in daily workflows. Cindy provides practical, actionable tips for everything from generating clear project scope documents and effective communication plans to streamlining stakeholder reporting. Learn how to develop detailed project timelines, manage risks, and create compelling status reports. Harness the power of Copilot to stay on top of project discussions, identify data trends, and even get ideas to keep your team motivated and engaged.",Course,2025-07-18 10:48 UTC,N/A,true,N/A,
Atendimento ao Cliente: Técnicas de Resolução de Problemas e Conflitos,"O atendimento ao cliente custa às organizações uma fortuna a cada ano. Como resultado, é fundamental que os colaboradores tenham as competências necessárias para lidar com diferentes problemas de atendimento ao cliente. Neste curso, conheça os processos essenciais para resolver uma ampla variedade de problemas e conflitos dos clientes com uma atitude sensata. Descubra como lidar com os problemas de modo eficaz e manter um relacionamento positivo com seus clientes, bem como o equilíbrio mental. Além disso, saiba como identificar e resolver problemas sistêmicos em sua empresa.",Course,2021-06-08 19:25 UTC,N/A,false,N/A,
Learning SQL Programming,"<p>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2023-04-10 13:44 UTC,N/A,false,N/A,
Building a Personal Portfolio with Django,"Django—an open-source web framework that's designed on top of Python—can help you quickly bring your website ideas to life. In this course, learn the basics of Django for web development by building your own website—a personal portfolio—from the ground up. Instructor Nick Walter steps through how to create a database, design the layout for your website, and add and update URL paths. Learn how to connect your Django project to Postgres, add static files and URLs, and more.",Course,2021-08-31 12:09 UTC,N/A,false,N/A,
Gestão de Projetos: Como Resolver os Problemas Mais Comuns,"Ao equilibrar as restrições triplas na gestão de projetos (custo/qualidade/tempo) e tentar realizar algo novo, certamente haverá problemas. No curso, o instrutor em gestão de projetos, Chris Croft, ensina a resolver os problemas mais comuns que surgem quando se trabalha com projetos. Ao dividir esses problemas em 4 categorias principais - problemas pessoais, problemas de qualidade, problemas de custo e problemas de tempo - Chris oferece conselhos e técnicas úteis sobre como lidar com eles.

</p><p>Este curso faz parte de um <a href=""https://www.linkedin.com/learning/paths/fundamentos-para-analise-de-negocios-por-microsoft-e-linkedin"" target=""_blank"">certificado profissional de Microsoft.</a></p>",Course,2020-03-24 12:42 UTC,N/A,false,N/A,
Como Dar Feedback aos Colaboradores,"Nesse curso, o escritor Todd Dewett ajuda você a identificar a melhor forma de dar feedback positivo e negativo aos funcionários. Saiba como criar uma cultura baseada em feedback efetivo, fazer coaching e dar sugestões que ajudam os funcionários a se desenvolverem. Descubra as características de feedback útil, seus diferentes tipos, conversas estruturadas e estratégias para reorientar as reações difíceis dos funcionários.",Course,2019-07-12 17:53 UTC,N/A,false,N/A,
API Testing Foundations (2018),"As software companies continue to shift towards cloud computing, mobile apps, and microservice architectures, the ability to quickly and effectively test APIs has become a critical skill for software testers. In this course, instructor Dave Westerveld covers the basics of API testing, sharing how to work with several robust tools for testing APIs at scale in an organization. After providing a primer on web services and important API terminology, Dave shows how to use Postman for some basic API exploration. He then goes over some basic approaches and methodologies used in testing GET, POST, PUT, and DELETE requests; shows how to approach performance testing using SoapUI, a popular automated API testing tool; and more.",Course,2020-01-02 11:21 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2023-06-07 13:28 UTC,N/A,true,N/A,
Comunicação na Liderança 4.0: O Poder da Síntese,"Neste breve curso de áudio, você aprenderá um pouco sobre como um verdadeiro líder se comunica nos dias de hoje, a fim de se fazer ouvido e, também, ouvir seus colaboradores. A comunicação não depende somente da junção das palavras que saem de nossas bocas, mas também de como elas são recebidas pelo outro. Por isso, é essencial buscar continuamente a clareza e a relevância da comunicação para obter sucesso profissional. 
Esse curso é recomendado para líderes que desejam conhecer estratégias e dicas para aperfeiçoar sua comunicação e a de seu time.		
Descubra mais sobre esse assunto tão importante, que promove sinergia e cooperação entre sua equipe! Seja bem vindo ao curso Comunicação 4.0!",Course,2021-07-28 04:23 UTC,N/A,false,N/A,
Integrating Splunk with Microsoft Purview,"Integrating Splunk into Microsoft Purview can help you level up your data protection solutions. In this course, Microsoft Certified trainer and consultant Oluwaseun Adebayo shows you how. Gain an understanding of the requirements, process, and technique that you’ll need to integrate Splunk with Microsoft Purview, and then explore the benefits of integration. Find out how to centralize metadata and lineage information, building a comprehensive view of your data landscape. Learn how to extend data governance policies and requirements to your machine-generated data. Plus, go over best practices for integration and dive into practical use cases and demonstrations.",Course,2024-08-07 13:58 UTC,N/A,false,N/A,
Liderança no Atendimento ao Cliente,"Este curso prático aborda como alinhar o atendimento ao cliente com os objetivos da organização, identificar e atender às expectativas do cliente, desenvolver uma equipe engajada e obter o apoio e os recursos de que você precisa. Independentemente de sua abordagem envolver atendimento presencial, centrais de atendimento, mídias sociais, autoatendimento ou quaisquer combinações, este curso foi concebido para que você aproveite rapidamente os fatores essenciais para o sucesso.",Course,2021-12-02 20:12 UTC,N/A,false,N/A,
Navigating Personal Trauma and Triggers at Work,"In this course, trauma expert Dr. Mariel Buqué explores how to navigate past traumas and triggers that may affect us while we are at work. She will guide learners through identifying ways traumas can affect the ways we respond to situations and how we can navigate situations that trigger a stress response, including ways to proactively mitigate triggers, ways to calm our nervous systems, build metacognition, increase cognitive flexibility, reframe challenging situations, boost our resilience, and manage lingering emotions. She also discusses ways to know how and when to disclose past traumas at work and how to become a more trauma-informed colleague.",Course,2024-04-29 00:06 UTC,N/A,false,N/A,
Advanced Selenium: Automation Frameworks,"Automation is about three things: balance, timing, and reaction. Selenium is the automation tool that allows you to combine all three aspects into testing. By integrating Selenium with popular languages like Java, Ruby, and Node.js, you can develop a custom test automation framework suitable for testing the most complex web and mobile apps. In this course, instructor Jain Waldrip walks you through the creation of a simple automation framework with each of these three languages. Learn how to install the necessary tools—including the dependency manager, unit test framework, and libraries for each language—and start writing tests. The end result is a viable MVP you can use to evaluate your options or develop into your own custom solution.",Course,2024-10-30 15:33 UTC,N/A,false,N/A,
Data Cleaning and Manipulating with Python in Excel,"In this specialized course, data analyst Chris French focuses on leveraging Python within Excel for efficient data cleaning and manipulation tasks. Explore data cleaning techniques, text and string manipulation, and numeric data cleaning. Hone your skills with advanced data cleaning challenges. Gain proficiency in using Python for data cleaning and manipulation tasks within Excel. Plus, master essential data cleaning techniques, including handling missing values and duplicates, standardizing data formats, and learning concepts to real-world datasets and scenarios to effectively clean and prepare data for analysis or reporting.",Course,2026-03-14 00:48 UTC,N/A,false,N/A,
Atlassian Agile Project Management Professional Certificate,"Need to skill up in agile project management? These courses teach you everything you need to know about agile practices in Jira Software to help your team be more efficient and effective. Tune in, pass the final exam, and earn your certificate.<br><br>This professional certificate is endorsed by <a href=""https://university.atlassian.com/student/catalog?utm_source=linkedin&utm_medium=unpaid-social&utm_campaign=P:uni-training*O:university*H:fy24q2*I:prof-cert-home*"" target=""_blank"">Atlassian</a>, the leader in project management and collaboration software.

Become a <a href=""https://university.atlassian.com/student/catalog/list?category_ids=33661-associate-certifications&utm_source=linkedin&utm_medium=unpaid-social&utm_campaign=P:uni-training*O:university*H:fy24q2*I:prof-cert-aca*"" target=""_blank"">certified associate</a> in Jira Software to further expand your expertise.",Learning Path,N/A,N/A,true,N/A,
Atlassian IT Service Management (ITSM) Professional Certificate,"In an evolving technological landscape, effective IT service management (ITSM) practices are vital for organizational success. These courses equip you with the latest skills in service desk management, change management, problem resolution, and performance metrics. Tune in, pass the final exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
